Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1681940352.9499288,0,0,5.5,0,26.02853515625
1681940358.4799116,0,0,6.0,0,26.01603515625
1681940363.7808967,0,0,5.0,0,25.8676953125
1681940369.08071,0,0,5.0,0,25.687031249999997
1681940374.4486907,0,0,5.0,0,25.55294921875
1681940379.9300725,0,0,4.5,0,25.5188671875
1681940385.3914633,0,0,4.0,0,25.59064453125
1681940390.8230186,0,0,3.0,0,25.73234375
1681940396.2091115,0,0,2.0,0,25.8270703125
1681940401.601464,0,0,1.5,0,25.9528515625
1681940407.0389028,0,0,2.0,0,26.0555859375
1681940412.4426494,0,0,2.0,0,25.89005859375
1681940417.8724608,0,0,2.0,0,25.41095703125
1681940423.3718016,0,0,2.0,0,24.7065625
1681940429.0469382,0,0,2.0,0,24.3161328125
1681940434.8451476,0,0,2.0,0,23.94787109375
1681940440.6957858,0,0,2.5,0,23.6700390625
1681940446.210637,0,0,3.0,0,23.43068359375
1681940451.6810691,0,0,3.0,0,23.15080078125
1681940457.2082877,0,0,4.0,0,22.943867187499997
1681940462.770883,0,0,3.0,0,22.6844921875
1681940468.3383963,0,0,3.0,0,22.64865234375
1681940473.8668916,0,0,3.0,0,22.70275390625
1681940479.39271,0,0,3.0,0,22.8094921875
1681940485.0069911,0,0,3.0,0,23.070625
1681940490.548177,0,0,3.0,0,23.2712109375
1681940496.1784003,0,0,3.0,0,23.4684765625
1681940501.7413585,0,0,3.0,0,23.67609375
1681940507.3846805,0,0,3.0,0,24.0284375
1681940513.0036798,0,0,2.0,0,24.236835937499997
1681940518.9704387,0,0,1.0,0,24.42921875
1681940525.0571947,0,0,2.0,0,24.61974609375
1681940530.722928,37.875415,-122.258946,2.0,0,24.713007812500003
1681940536.3603137,37.875321,-122.259015,2.0,0,24.632441406250003
1681940542.1420312,37.875275,-122.259041,2.0,0,24.65314453125
1681940547.8352382,37.875256,-122.259053,2.0,0,24.68322265625
1681940553.5618677,37.875228,-122.259096,2.0,0,24.7649609375
1681940559.3035994,37.875228,-122.259096,2.0,0,24.9153515625
1681940565.0077786,37.875228,-122.259096,2.0,0,25.015253906250003
1681940570.742698,37.875215,-122.259216,2.0,0,25.1141796875
1681940576.4669333,37.875215,-122.259216,2.0,0,25.2034375
1681940582.2508981,37.875321,-122.259203,2.0,0,25.16408203125
1681940588.0049763,37.875321,-122.259203,2.0,0,25.05919921875
1681940593.8228707,37.875586,-122.259116,2.0,0,25.051777343749997
1681940599.675897,37.875585,-122.259146,2.5,0,25.10197265625
1681940605.5003092,37.875585,-122.259175,3.0,0,25.17638671875
1681940611.3699672,37.875645,-122.259136,3.0,0,25.26203125
1681940617.3019214,37.8757,-122.259116,4.0,0,25.30744140625
1681940623.2274919,37.875686,-122.259148,3.0,0,25.333125
1681940629.1419039,37.875656,-122.259181,4.0,0,25.34513671875
1681940634.9951258,37.875673,-122.259168,4.0,0,25.3337109375
1681940641.0236151,37.8757,-122.259151,3.0,0,25.36212890625
1681940646.9335942,37.875725,-122.259145,3.0,0,25.3930859375
1681940653.0873003,37.87576,-122.259115,4.0,0,25.4149609375
1681940659.102119,37.875803,-122.259063,4.0,0,25.39484375
1681940665.1676078,37.875806,-122.259078,4.0,0,25.38693359375
1681940671.1206892,37.875808,-122.259115,4.0,0,25.36662109375
1681940677.1493177,37.875845,-122.259116,4.0,0,25.25763671875
1681940683.0998068,37.875835,-122.259185,4.0,0,25.045527343750003
1681940689.0777562,37.875893,-122.259309,4.0,0,24.741328125
1681940695.155682,37.875945,-122.259353,4.0,0,24.068671875
1681940701.1987941,37.875981,-122.25934,4.0,0,23.79376953125
1681940707.2719114,37.876006,-122.259333,4.0,0,23.535078125
1681940713.280111,37.876038,-122.259318,3.5,0,23.31876953125
1681940719.3364983,37.876135,-122.259281,3.0,0,22.934296875
1681940725.5138,37.876115,-122.259303,3.0,0,22.67306640625
1681940731.6324534,37.876111,-122.259318,3.0,0,22.604609375
1681940737.769312,37.876058,-122.259403,2.5,0,22.521796875
1681940743.8606324,37.876031,-122.259468,2.0,0,22.44865234375
1681940750.1396334,37.876001,-122.25959,2.0,0,22.34474609375
1681940756.2885382,37.875888,-122.259673,2.0,0,22.3805859375
1681940762.4817662,37.875715,-122.259813,1.5,0,22.192988281250003
1681940768.6404665,37.875568,-122.259919,1.0,0,22.102167968750003
1681940774.8676853,37.875508,-122.259893,1.0,0,21.96955078125
1681940781.0332527,37.875548,-122.259868,2.0,0,21.90275390625
1681940787.1863804,37.87555,-122.259848,2.0,0,21.9628125
1681940793.3942187,37.87556,-122.25984,2.0,0,21.899921874999997
1681940799.6612787,37.875761,-122.259675,2.5,0,21.83615234375
1681940805.9351583,37.875811,-122.259598,3.0,0,21.746113281249997
1681940812.155166,37.875748,-122.259611,3.0,0,21.6481640625
