Epoch time,Latitude,Longitude,Radiation (cps)
1682545687.5090644,37.875175,-122.255786,46.0
1682545692.821721,37.875171,-122.255793,44.4
1682545698.1656632,37.875166,-122.255798,46.8
1682545703.5012681,37.875161,-122.255803,44.6
1682545708.8015606,37.875156,-122.255809,41.8
1682545714.1440027,37.875153,-122.255818,43.2
1682545719.4613552,37.87515,-122.255825,43.8
1682545724.7883234,37.875141,-122.255834,43.6
1682545730.1452484,37.875136,-122.255843,43.0
1682545735.466988,37.875133,-122.255846,48.8
1682545740.8017085,37.875125,-122.255846,44.8
1682545746.1677947,37.875116,-122.255846,43.4
1682545751.4975727,37.875111,-122.255849,44.6
1682545756.863127,37.875103,-122.255853,44.4
1682545762.2212408,37.875095,-122.255849,44.0
1682545767.584353,37.875093,-122.255811,50.2
1682545772.9922175,37.875071,-122.255723,45.0
1682545778.3628259,37.875053,-122.255695,41.6
1682545783.7308745,37.875041,-122.255706,41.2
1682545789.1301804,37.875023,-122.25571,45.4
1682545794.4956763,37.875019,-122.255703,45.4
1682545799.9497552,37.875006,-122.255693,45.2
1682545805.413353,37.874998,-122.255681,49.2
1682545810.9257402,37.874975,-122.255671,43.8
1682545816.4463904,37.874891,-122.255633,45.6
1682545821.89318,37.87486,-122.255598,44.2
1682545827.3395662,37.874953,-122.255663,40.4
1682545832.7356675,37.874981,-122.255681,48.8
1682545838.239869,37.875065,-122.25569,48.8
1682545843.6325321,37.87512,-122.255716,46.6
1682545849.1095061,37.875143,-122.255736,45.4
1682545854.524527,37.875158,-122.255723,39.2
1682545859.9928646,37.875151,-122.255695,43.2
1682545865.4364166,37.875151,-122.25569,44.8
1682545870.881505,37.875148,-122.255683,41.0
1682545876.3575797,37.875113,-122.255668,45.8
1682545881.776467,37.875093,-122.255658,42.2
1682545887.2177444,37.875065,-122.255638,41.8
1682545892.6243238,37.875015,-122.255648,43.4
1682545898.1199813,37.875031,-122.255639,42.2
1682545903.5590076,37.875025,-122.255666,44.2
1682545909.0491078,37.875056,-122.255758,38.0
1682545914.500659,37.875065,-122.255858,43.6
1682545919.9988706,37.875071,-122.255918,43.4
1682545925.4525967,37.875063,-122.255911,39.8
1682545930.9531238,37.875046,-122.255911,39.0
1682545936.4474137,37.875058,-122.255813,44.0
1682545941.9392266,37.875073,-122.255695,45.0
1682545947.422163,37.875105,-122.255664,48.6
1682545952.9385571,37.875133,-122.255658,40.4
1682545958.5255697,37.87519,-122.255664,43.8
1682545964.1384466,37.875175,-122.255758,44.8
1682545969.6196268,37.875168,-122.255878,49.0
1682545975.1879065,37.87515,-122.255979,39.6
1682545980.6759007,37.875126,-122.255946,41.8
