Epoch time,Latitude,Longitude,Radiation (cps)
1682553230.1806176,37.872403,-122.259851,38.6
1682553235.4786422,37.872505,-122.259855,39.0
1682553240.8188016,37.872425,-122.259868,37.0
1682553246.164052,37.872325,-122.259884,35.2
1682553251.4609265,37.872254,-122.259896,35.6
1682553256.7992811,37.872241,-122.259898,33.4
1682553262.1553047,37.872243,-122.259896,36.8
1682553267.459848,37.87225,-122.259895,33.2
1682553272.7852483,37.872388,-122.25982,38.2
1682553278.1697829,37.872431,-122.259798,39.0
1682553283.496786,37.87245,-122.259788,35.2
1682553288.856736,37.872458,-122.259781,34.2
1682553294.217354,37.87246,-122.259781,37.8
1682553299.556133,37.87246,-122.259781,34.6
1682553304.9222054,37.87246,-122.259781,41.2
1682553310.3415458,37.87246,-122.259781,36.6
1682553315.687633,37.87246,-122.259781,37.2
1682553321.1080685,37.87246,-122.259781,36.8
1682553326.457992,37.87246,-122.259781,38.0
1682553331.86606,37.872461,-122.259781,39.6
1682553337.2758453,37.872461,-122.259781,39.6
1682553342.7511163,37.872461,-122.259781,31.2
1682553348.2908235,37.872461,-122.259781,33.0
1682553353.7175772,37.872461,-122.259781,37.0
1682553359.1914392,37.872461,-122.259781,39.2
1682553364.5832481,37.872461,-122.259781,39.4
1682553370.01046,37.872461,-122.259781,36.6
1682553375.4197505,37.872461,-122.259781,38.6
1682553380.8481488,37.872473,-122.259781,34.4
1682553386.286787,37.872481,-122.25978,35.8
1682553391.6629987,37.872488,-122.259778,40.6
1682553397.129937,37.872488,-122.259778,35.6
1682553402.5205336,37.872488,-122.259776,34.8
1682553407.9631245,37.872488,-122.259776,43.4
1682553413.4018178,37.872488,-122.259776,36.4
1682553418.8113413,37.872491,-122.259775,35.0
1682553424.2538571,37.872491,-122.259775,40.6
1682553429.6699626,37.872491,-122.259775,40.0
1682553435.157949,37.872491,-122.259775,35.2
1682553440.5989678,37.872493,-122.259775,39.6
1682553446.0722585,37.872498,-122.259771,41.4
1682553451.505271,37.872498,-122.259771,32.0
1682553456.9468386,37.8725,-122.25977,40.0
1682553462.438882,37.872501,-122.25977,37.2
1682553467.9025521,37.872503,-122.25977,37.4
1682553473.3785095,37.872503,-122.25977,32.8
1682553478.8542123,37.872503,-122.25977,32.2
1682553484.3601973,37.872503,-122.25977,36.6
1682553489.8155599,37.872503,-122.25977,38.8
1682553495.2955878,37.872503,-122.25977,33.0
1682553500.7787697,37.872508,-122.259768,31.0
1682553506.379275,37.87251,-122.259766,37.2
1682553511.8429637,37.87251,-122.259766,39.8
1682553517.3380468,37.87251,-122.259766,42.4
1682553522.8313544,37.87251,-122.259766,38.0
1682553528.359577,37.87251,-122.259766,39.0
