Epoch time,Latitude,Longitude,Radiation (cps)
1682697410.026119,37.875251,-122.256083,23.8
1682697415.3628578,37.875251,-122.256083,21.8
1682697420.7603674,37.875256,-122.256089,27.2
1682697426.1043437,37.875258,-122.256091,19.6
1682697431.4413736,37.875258,-122.256091,22.2
1682697436.801398,37.87526,-122.256091,23.0
1682697442.1662304,37.87526,-122.256091,20.2
1682697447.505337,37.87526,-122.256091,22.4
1682697452.8830545,37.87526,-122.256091,20.6
1682697458.2670105,37.87526,-122.256091,23.4
1682697463.6059642,37.87526,-122.256091,22.6
1682697468.9939368,37.87526,-122.256091,20.8
1682697474.3267853,37.87526,-122.256091,22.6
1682697479.6694043,37.87526,-122.256091,20.2
1682697485.1204712,37.875261,-122.256083,20.2
1682697490.4779828,37.875261,-122.256083,22.2
1682697495.8662431,37.875261,-122.256083,20.8
1682697501.3132071,37.875261,-122.256083,20.4
1682697506.7145321,37.875261,-122.256083,23.4
1682697512.1560853,37.875261,-122.256083,21.6
1682697517.520871,37.875261,-122.256083,21.6
1682697522.9480302,37.87526,-122.256081,20.8
1682697528.3649511,37.875258,-122.256078,19.8
1682697533.847573,37.875256,-122.256076,24.2
1682697539.3519719,37.875255,-122.256073,20.6
1682697544.7807066,37.875253,-122.256073,25.8
1682697550.246103,37.875253,-122.256073,22.4
1682697555.700109,37.875248,-122.25607,25.6
1682697561.1614285,37.875248,-122.256068,20.8
1682697566.5629394,37.875246,-122.256063,19.2
1682697572.0405679,37.875246,-122.256065,25.8
1682697577.4483097,37.875244,-122.256066,23.4
1682697582.9106915,37.875244,-122.256065,21.4
1682697588.3891883,37.875246,-122.256066,20.2
1682697593.8428867,37.875246,-122.256065,19.6
1682697599.3058364,37.875248,-122.256065,22.6
1682697604.755918,37.875248,-122.256065,20.6
1682697610.212166,37.875251,-122.256066,21.2
1682697615.6542287,37.875255,-122.25607,24.0
1682697621.1903768,37.875258,-122.256073,21.4
1682697626.6288743,37.875258,-122.256075,19.4
1682697632.1188617,37.87526,-122.256078,22.2
1682697637.5593052,37.875261,-122.25608,19.8
1682697643.068414,37.875261,-122.25608,19.4
1682697648.5167344,37.875261,-122.25608,23.2
1682697654.0375671,37.875261,-122.25608,21.4
1682697659.5471652,37.875261,-122.25608,21.0
1682697665.0775387,37.875261,-122.25608,21.2
1682697670.545906,37.875261,-122.25608,21.0
1682697676.1285865,37.875261,-122.25608,21.6
1682697681.6139555,37.875261,-122.256081,22.8
1682697687.2052732,37.875261,-122.25608,20.0
1682697692.674057,37.875261,-122.256081,20.6
1682697698.209276,37.875261,-122.256081,22.2
1682697703.7173953,37.875263,-122.256081,20.8
