Epoch time,Latitude,Longitude,Radiation (cps)
1682697947.5846894,37.875831,-122.256638,29.0
1682697952.987082,37.875835,-122.256641,28.2
1682697958.405488,37.875838,-122.256645,28.2
1682697963.7181597,37.87584,-122.256643,29.8
1682697969.0535185,37.875843,-122.256643,28.4
1682697974.39901,37.875843,-122.256641,37.4
1682697979.7210484,37.875848,-122.25664,28.2
1682697985.0977252,37.875846,-122.256636,28.8
1682697990.4251485,37.875846,-122.256636,32.0
1682697995.7732215,37.875846,-122.256636,27.6
1682698001.1264482,37.875845,-122.256635,31.2
1682698006.4748151,37.875845,-122.256635,33.8
1682698011.852484,37.875836,-122.256631,29.4
1682698017.260817,37.875836,-122.256631,31.6
1682698022.610177,37.875836,-122.256631,33.0
1682698028.0567195,37.875836,-122.25663,33.0
1682698033.4316647,37.875836,-122.25663,30.0
1682698038.8080568,37.875836,-122.25663,27.8
1682698044.2208579,37.875836,-122.25663,32.0
1682698049.584987,37.875836,-122.25663,25.0
1682698054.993224,37.875836,-122.25663,25.8
1682698060.4086082,37.875836,-122.25663,32.0
1682698065.8640013,37.875836,-122.25663,32.0
1682698071.4423695,37.875836,-122.25663,31.6
1682698077.05328,37.875836,-122.256631,30.4
1682698082.5029657,37.875841,-122.256633,27.6
1682698088.1094792,37.87585,-122.25664,24.6
1682698093.5962963,37.875851,-122.256641,30.2
1682698099.1208205,37.875851,-122.25664,30.4
1682698104.5857224,37.875853,-122.256638,27.4
1682698110.0992248,37.875853,-122.256636,26.4
1682698115.5159273,37.875853,-122.256638,32.6
1682698120.9662445,37.875853,-122.256636,33.8
1682698126.4454577,37.875851,-122.256635,28.6
1682698131.8857775,37.875846,-122.25663,28.8
1682698137.4134905,37.875843,-122.256621,33.8
1682698142.8514748,37.875838,-122.256613,34.8
1682698148.3428664,37.875835,-122.256608,30.2
1682698153.788089,37.875835,-122.256608,26.8
1682698159.2785645,37.875835,-122.256608,32.6
1682698164.7114155,37.875835,-122.256608,28.2
1682698170.1868098,37.875835,-122.25661,29.2
1682698175.65211,37.875835,-122.25661,27.8
1682698181.1722429,37.875835,-122.25661,32.4
1682698186.6439395,37.875835,-122.25661,29.0
1682698192.1526713,37.875835,-122.25661,31.8
1682698197.58475,37.875835,-122.25661,25.8
1682698203.1441886,37.875835,-122.25661,28.8
1682698208.6784067,37.875835,-122.25661,25.6
1682698214.187611,37.875835,-122.25661,30.0
1682698219.6710036,37.875835,-122.256611,25.6
1682698225.266958,37.875833,-122.256611,24.4
1682698230.7607296,37.875833,-122.256611,32.4
1682698236.2990086,37.875833,-122.256611,30.0
