Epoch time,Latitude,Longitude,Radiation (cps)
1682704034.1458519,0,0,24.0
1682704039.5047765,0,0,22.0
1682704044.855128,0,0,18.4
1682704050.2595186,37.873943,-122.264736,20.6
1682704055.612326,37.873939,-122.264741,16.8
1682704060.9735441,37.873935,-122.26474,23.0
1682704066.3302586,37.873931,-122.264743,19.6
1682704071.705691,37.873933,-122.26474,20.6
1682704077.1505754,37.873933,-122.264738,23.0
1682704082.536256,37.873936,-122.264741,23.2
1682704087.9452717,37.873936,-122.264745,18.2
1682704093.3475454,37.873936,-122.264745,19.8
1682704098.8013744,37.873938,-122.264743,21.4
1682704104.3500838,37.873941,-122.264741,20.8
1682704109.7463963,37.873943,-122.264743,20.8
1682704115.2121003,37.873941,-122.264748,23.0
1682704120.5951414,37.873945,-122.264753,21.8
1682704126.003041,37.873946,-122.26476,19.8
1682704131.4034276,37.873953,-122.264756,20.0
1682704136.8444235,37.873953,-122.264756,17.8
1682704142.2633278,37.873953,-122.264756,19.6
1682704147.6652677,37.873951,-122.264756,23.0
1682704153.127659,37.873946,-122.264756,19.0
1682704158.542215,37.87395,-122.264761,18.4
1682704163.995068,37.87395,-122.264765,21.2
1682704169.4552343,37.873943,-122.264763,22.0
1682704174.9103837,37.873946,-122.264761,19.4
1682704180.3634095,37.873946,-122.264761,19.4
1682704185.8120742,37.873946,-122.264763,20.6
1682704191.325504,37.873948,-122.26476,22.0
1682704196.7469332,37.873946,-122.264761,22.0
1682704202.2672603,37.873941,-122.264763,23.2
1682704207.7672906,37.873941,-122.264763,19.6
1682704213.308769,37.873936,-122.264768,24.4
1682704218.8972774,37.873935,-122.264771,19.4
1682704224.5253115,37.873931,-122.264771,20.0
1682704230.1856894,37.87393,-122.264771,19.6
1682704235.704017,37.873928,-122.264778,21.6
1682704241.2965145,37.873928,-122.264776,19.6
1682704246.9625773,37.873926,-122.264776,23.2
1682704252.551266,37.873926,-122.264773,19.2
1682704258.133956,37.873928,-122.264775,20.0
1682704263.6314905,37.873928,-122.264778,20.4
1682704269.245866,37.873928,-122.264775,20.4
1682704274.8455534,37.87393,-122.264778,16.4
1682704280.440597,37.87393,-122.264773,17.6
1682704285.9909887,37.873931,-122.264773,20.4
1682704291.5370944,37.873935,-122.264776,16.4
1682704297.1742167,37.873933,-122.264778,20.0
1682704302.7392151,37.873933,-122.26478,21.2
1682704308.4058762,37.873935,-122.264781,17.6
1682704314.1458318,37.873936,-122.264778,21.0
