Epoch time,Latitude,Longitude,Radiation (cps)
1682704522.1597118,37.874533,-122.262638,33.8
1682704527.4839995,37.874533,-122.262638,33.6
1682704532.8097086,37.874533,-122.262638,30.2
1682704538.1685772,37.874533,-122.262638,36.6
1682704543.5013442,37.874533,-122.262638,35.2
1682704548.860839,37.874533,-122.262638,40.6
1682704554.2311897,37.874533,-122.262638,32.6
1682704559.5838175,37.874533,-122.262638,31.4
1682704564.9581835,37.874533,-122.262638,29.6
1682704570.3454816,37.874533,-122.262638,33.0
1682704575.7183623,37.874533,-122.262638,35.6
1682704581.1319416,37.874533,-122.262638,33.4
1682704586.4862278,37.874533,-122.262638,35.4
1682704591.9385056,37.874533,-122.262638,33.6
1682704597.395316,37.874533,-122.262638,37.0
1682704602.794883,37.874533,-122.262638,36.4
1682704608.233971,37.874533,-122.262638,30.2
1682704613.6077108,37.874533,-122.262638,36.4
1682704619.0348983,37.874533,-122.262638,31.6
1682704624.4935167,37.874533,-122.262638,35.2
1682704629.9119852,37.874533,-122.262638,35.8
1682704635.3409166,37.874533,-122.262638,35.2
1682704640.7354455,37.874533,-122.262638,30.8
1682704646.20731,37.874533,-122.262638,35.8
1682704651.6068912,37.874533,-122.262638,35.8
1682704657.1069305,37.874533,-122.262638,32.0
1682704662.6998668,37.874533,-122.262638,34.6
1682704668.220466,37.874533,-122.262638,31.8
1682704673.7939746,37.874533,-122.262638,30.2
1682704679.3715944,37.874533,-122.262638,34.6
1682704684.9667208,37.874533,-122.262638,29.2
1682704690.5452762,37.874533,-122.262638,37.4
1682704696.1519763,37.874533,-122.262638,34.0
1682704701.713289,37.874533,-122.262638,37.2
1682704707.3184428,37.874533,-122.262638,37.0
1682704712.8595831,37.874533,-122.262638,32.8
1682704718.392303,37.874533,-122.262638,30.6
1682704723.964835,37.874533,-122.262638,34.6
1682704729.5280907,37.874533,-122.262638,30.6
1682704735.0889773,37.874533,-122.262638,34.8
1682704740.634251,37.874533,-122.262638,38.6
1682704746.1817446,37.874533,-122.262638,35.0
1682704751.747273,37.874533,-122.262638,37.2
1682704757.3626935,37.874533,-122.262638,31.2
1682704762.8903782,37.874533,-122.262638,32.8
1682704768.406772,37.874533,-122.262638,35.4
1682704773.9054794,37.874533,-122.262638,35.8
1682704779.4077692,37.874533,-122.262638,33.8
1682704784.9295247,37.874533,-122.262638,36.2
1682704790.4609115,37.874533,-122.262638,32.8
1682704796.0051596,37.874533,-122.262638,35.0
1682704801.5982754,37.874533,-122.262638,30.6
