Epoch time,Latitude,Longitude,Radiation (cps)
1682703573.030533,37.873403,-122.263463,58.8
1682703578.3742373,37.873403,-122.263463,63.6
1682703583.7162035,37.873403,-122.263463,60.8
1682703589.0589685,37.873406,-122.263463,60.8
1682703594.3988314,37.87341,-122.263463,63.0
1682703599.7267323,37.873413,-122.263466,58.4
1682703605.1502244,37.87342,-122.263471,63.8
1682703610.54806,37.87343,-122.263485,63.0
1682703615.933137,37.87345,-122.263513,60.2
1682703621.3036711,37.873461,-122.263545,56.8
1682703626.6535714,37.873466,-122.263561,55.2
1682703632.059418,37.873464,-122.26357,58.8
1682703637.438881,37.873458,-122.26357,59.8
1682703642.8205523,37.873448,-122.263561,66.2
1682703648.2490475,37.873431,-122.263538,56.4
1682703653.6202886,37.873428,-122.263535,55.8
1682703659.0035,37.873428,-122.263535,61.4
1682703664.3927796,37.873431,-122.263533,60.8
1682703669.7802083,37.873433,-122.263541,67.6
1682703675.2088604,37.873443,-122.263556,69.8
1682703680.6288636,37.873453,-122.263576,61.2
1682703686.0904305,37.873456,-122.26359,61.2
1682703691.4996328,37.873456,-122.263594,51.8
1682703697.0215018,37.873451,-122.263606,57.2
1682703702.4874897,37.873445,-122.263623,55.6
1682703708.005818,37.87344,-122.263643,60.6
1682703713.5564384,37.873435,-122.263681,64.0
1682703719.040211,37.873433,-122.263696,62.6
1682703724.4866595,37.873431,-122.2637,62.8
1682703729.9398184,37.873435,-122.263705,60.8
1682703735.4036157,37.873443,-122.263705,58.6
1682703740.857293,37.873455,-122.263701,54.2
1682703746.3090935,37.873458,-122.263701,55.8
1682703751.7367427,37.873458,-122.263701,55.0
1682703757.220202,37.873458,-122.263701,56.6
1682703762.6990921,37.873458,-122.263701,61.8
1682703768.1559346,37.873458,-122.263701,62.2
1682703773.6053429,37.873461,-122.263701,63.8
1682703779.1617174,37.873483,-122.263703,62.2
1682703784.628707,37.873483,-122.263701,55.6
1682703790.1543283,37.873485,-122.263701,64.6
1682703795.6002703,37.873483,-122.263706,64.2
1682703801.0823727,37.873483,-122.263705,59.6
1682703806.5244985,37.873485,-122.263705,59.8
1682703812.05105,37.873485,-122.263703,59.4
1682703817.5386975,37.873485,-122.263703,62.2
1682703823.0874395,37.873485,-122.263705,61.2
1682703828.593843,37.873485,-122.263703,63.6
1682703834.1569505,37.873485,-122.263703,64.4
1682703839.8227096,37.873485,-122.2637,58.8
1682703845.344209,37.873485,-122.2637,62.8
1682703850.9562175,37.873486,-122.263701,56.0
1682703856.487416,37.873486,-122.263701,60.6
