Epoch time,Latitude,Longitude,Radiation (cps)
1682701982.4846282,37.870718,-122.26407,25.4
1682701987.8563542,37.87074,-122.264145,24.4
1682701993.2045968,37.870736,-122.264078,31.0
1682701998.5362072,37.870701,-122.263886,29.4
1682702003.9112422,37.870665,-122.263805,26.4
1682702009.2853432,37.870661,-122.263801,28.8
1682702014.634492,37.870645,-122.263758,27.2
1682702020.042389,37.870608,-122.263678,25.8
1682702025.4404194,37.870576,-122.2636,26.2
1682702030.7977495,37.870596,-122.26361,26.2
1682702036.1760168,37.870605,-122.263613,24.8
1682702041.5341763,37.870605,-122.263611,26.0
1682702046.9686635,37.870605,-122.263611,26.6
1682702052.3612807,37.870605,-122.263611,27.2
1682702057.791385,37.870605,-122.263611,29.0
1682702063.18216,37.870605,-122.263611,27.6
1682702068.5723705,37.870605,-122.263611,25.6
1682702074.0103207,37.870605,-122.263611,19.4
1682702079.3956382,37.870605,-122.263611,24.6
1682702084.8429105,37.870605,-122.263611,26.6
1682702090.260708,37.870605,-122.263611,24.8
1682702095.669387,37.870606,-122.263618,26.2
1682702101.2108607,37.870606,-122.263618,29.6
1682702106.6143966,37.870606,-122.263618,28.0
1682702112.0994947,37.870606,-122.263618,27.8
1682702117.5387812,37.870606,-122.263618,28.6
1682702123.093985,37.870606,-122.263618,28.6
1682702128.54061,37.870606,-122.263618,25.6
1682702134.0675285,37.870606,-122.263618,28.4
1682702139.5913646,37.870606,-122.263618,28.4
1682702145.1445725,37.870606,-122.263618,25.2
1682702150.7576468,37.870606,-122.263618,27.8
1682702156.295425,37.870606,-122.263618,24.0
1682702161.854728,37.870606,-122.263618,25.6
1682702167.329009,37.870606,-122.263618,26.2
1682702172.919025,37.870606,-122.263618,29.8
1682702178.5554578,37.870606,-122.263618,27.0
1682702184.1007001,37.870606,-122.263618,24.4
1682702189.602554,37.870606,-122.263618,29.4
1682702195.201704,37.870606,-122.263618,26.2
1682702200.6574388,37.870606,-122.263618,27.4
1682702206.1697915,37.870605,-122.263626,22.2
1682702211.6303682,37.870605,-122.263626,23.4
1682702217.186201,37.870605,-122.263626,26.4
1682702222.6668503,37.870605,-122.263626,26.8
1682702228.2644796,37.870605,-122.263626,25.8
1682702233.7695432,37.870605,-122.263626,26.8
1682702239.2749887,37.870605,-122.263626,28.4
1682702244.7501209,37.870598,-122.263616,26.2
1682702250.3361351,37.870601,-122.263621,28.0
1682702255.8888052,37.870598,-122.263596,29.4
1682702261.4542608,37.870599,-122.263605,28.0
1682702266.9998791,37.870606,-122.263653,27.4
1682702272.5291238,37.870616,-122.263645,26.6
