Epoch time,Latitude,Longitude,Radiation (cps)
1682703014.555995,37.870305,-122.264306,43.0
1682703019.9822912,37.870306,-122.26431,36.8
1682703025.3765628,37.870291,-122.264283,39.6
1682703030.7321737,37.870261,-122.264285,34.2
1682703036.126738,37.87025,-122.26429,33.6
1682703041.4611475,37.87025,-122.264301,35.6
1682703046.8242135,37.87025,-122.264308,34.0
1682703052.2077672,37.870251,-122.264313,35.2
1682703057.5493126,37.87025,-122.26432,34.8
1682703062.9455,37.870248,-122.264323,38.8
1682703068.3184683,37.870246,-122.264321,36.0
1682703073.6556308,37.870243,-122.264325,35.4
1682703079.0482652,37.87024,-122.264333,34.4
1682703084.41027,37.87024,-122.264343,35.2
1682703089.8423417,37.870238,-122.264361,36.8
1682703095.2913895,37.87024,-122.264368,33.4
1682703100.8154366,37.870243,-122.264366,37.0
1682703106.27546,37.870243,-122.264365,38.0
1682703111.7346687,37.870245,-122.264366,36.6
1682703117.139852,37.870255,-122.264363,34.4
1682703122.5170112,37.870258,-122.264363,39.4
1682703127.9315572,37.870261,-122.264363,33.2
1682703133.3393316,37.87026,-122.264361,33.8
1682703138.7484756,37.870258,-122.264363,31.8
1682703144.1790335,37.870258,-122.264365,38.4
1682703149.5778615,37.870256,-122.264368,31.6
1682703155.0981133,37.870253,-122.264375,36.6
1682703160.4988647,37.870251,-122.264368,36.6
1682703165.9728928,37.870251,-122.26436,30.0
1682703171.4448302,37.870251,-122.264355,31.8
1682703176.978944,37.870255,-122.264346,28.4
1682703182.5184543,37.870255,-122.264336,33.0
1682703188.063347,37.870253,-122.264333,37.6
1682703193.590288,37.870255,-122.264333,34.4
1682703199.0536714,37.870255,-122.26433,38.4
1682703204.4846752,37.870255,-122.264326,36.8
1682703209.972639,37.870253,-122.264323,40.0
1682703215.4677136,37.870253,-122.264321,35.4
1682703220.9451575,37.870255,-122.264321,41.6
1682703226.4098294,37.870253,-122.264318,33.0
1682703231.8624465,37.870251,-122.264315,36.8
1682703237.3622322,37.870255,-122.264313,34.4
1682703242.8494518,37.870256,-122.264315,35.4
1682703248.3848708,37.870255,-122.26431,36.8
1682703253.864178,37.870253,-122.264308,37.2
1682703259.3665726,37.870253,-122.264308,37.4
1682703264.9094968,37.870253,-122.264306,34.6
1682703270.4755597,37.870251,-122.264303,32.4
1682703275.9624991,37.87025,-122.2643,38.0
1682703281.4689422,37.870245,-122.264295,35.0
1682703286.9966834,37.870243,-122.264293,38.8
1682703292.5587707,37.870245,-122.26429,36.6
1682703298.1104953,37.870243,-122.264286,33.2
