Epoch time,Latitude,Longitude,Radiation (cps)
1682700501.336428,37.872673,-122.259183,36.0
1682700506.6510203,37.872671,-122.259178,33.4
1682700512.069508,37.872671,-122.259173,32.8
1682700517.3686059,37.872675,-122.259166,35.6
1682700522.7152405,37.872681,-122.259146,35.6
1682700528.0740502,37.872683,-122.259136,34.6
1682700533.383424,37.872715,-122.25913,34.0
1682700538.7339675,37.872743,-122.25911,30.6
1682700544.0935388,37.87278,-122.259118,29.6
1682700549.4266183,37.872853,-122.259071,32.0
1682700554.773977,37.87296,-122.259081,32.8
1682700560.1453285,37.873078,-122.259016,31.0
1682700565.5028353,37.87308,-122.258971,34.0
1682700570.9074936,37.872961,-122.258993,34.6
1682700576.279093,37.872854,-122.25909,32.6
1682700581.7217283,37.872895,-122.259121,29.8
1682700587.1233735,37.872891,-122.259058,32.4
1682700592.498782,37.872886,-122.259043,32.0
1682700597.9358582,37.872976,-122.259019,31.0
1682700603.3184206,37.873056,-122.259043,33.8
1682700608.713146,37.873068,-122.259008,35.8
1682700614.1179466,37.873068,-122.259008,35.8
1682700619.5149982,37.873035,-122.258928,31.8
1682700625.0062442,37.873096,-122.259115,32.2
1682700630.5676098,37.873111,-122.25915,30.6
1682700636.0551918,37.873138,-122.259161,30.4
1682700641.502513,37.873146,-122.259153,34.0
1682700646.9960134,37.873188,-122.259195,34.0
1682700652.4084582,37.873256,-122.259146,31.0
1682700657.85341,37.873341,-122.259086,34.8
1682700663.3014061,37.873346,-122.25908,32.2
1682700668.7272787,37.87318,-122.259148,31.4
1682700674.166944,37.873173,-122.259166,32.0
1682700679.6887271,37.873201,-122.259178,33.2
1682700685.1999393,37.873213,-122.259248,27.4
1682700690.669862,37.873146,-122.259278,36.0
1682700696.1271923,37.873093,-122.259381,30.0
1682700701.55559,37.873135,-122.259445,29.8
1682700707.0396442,37.873031,-122.259423,33.6
1682700712.5056198,37.873031,-122.259423,36.8
1682700718.0582633,37.873031,-122.259423,32.2
1682700723.4866617,37.873031,-122.259423,29.4
1682700729.0221715,37.873031,-122.259423,32.8
1682700734.4245362,37.873031,-122.259423,31.2
1682700739.9813092,37.873031,-122.259423,32.4
1682700745.4718204,37.872658,-122.259065,35.6
1682700750.963581,37.872875,-122.259061,28.4
1682700756.4518578,37.872831,-122.25906,32.8
1682700761.992553,37.872763,-122.259078,33.2
1682700767.5008998,37.872701,-122.25908,31.4
1682700773.0220108,37.872701,-122.259088,34.4
1682700778.5658767,37.872726,-122.259086,31.0
1682700784.1434214,37.872738,-122.259086,30.6
