Epoch time,Latitude,Longitude,Radiation (cps)
1682701479.6527078,37.871995,-122.259946,33.4
1682701485.0163846,37.87199,-122.259923,32.6
1682701490.3434043,37.871993,-122.259915,25.4
1682701495.6402073,37.872043,-122.259858,28.4
1682701500.9841394,37.87207,-122.259846,26.2
1682701506.3372607,37.872065,-122.259821,37.4
1682701511.666731,37.872045,-122.259821,30.4
1682701517.02981,37.872019,-122.259796,28.8
1682701522.403879,37.87203,-122.259803,30.2
1682701527.832051,37.872081,-122.259768,29.2
1682701533.226736,37.872135,-122.259728,30.6
1682701538.6188574,37.872206,-122.259708,32.8
1682701543.9966137,37.872241,-122.259686,33.2
1682701549.3968854,37.872268,-122.259673,29.0
1682701554.7502384,37.872246,-122.259633,32.0
1682701560.1829033,37.872193,-122.259604,32.0
1682701565.5485892,37.872176,-122.259583,31.8
1682701570.9266424,37.872158,-122.25956,29.0
1682701576.3302033,37.872155,-122.259554,27.2
1682701581.7296193,37.872165,-122.259521,29.0
1682701587.1688442,37.872168,-122.25948,29.0
1682701592.6197236,37.872171,-122.259446,28.8
1682701598.104168,37.872181,-122.259416,31.4
1682701603.5407417,37.872168,-122.259401,33.4
1682701608.9799597,37.872168,-122.259371,30.4
1682701614.4722764,37.872141,-122.259343,34.2
1682701619.899651,37.872128,-122.259296,30.4
1682701625.4260764,37.872111,-122.259201,33.6
1682701630.8780012,37.872136,-122.2592,30.2
1682701636.3241577,37.872159,-122.25918,31.8
1682701641.7475796,37.872175,-122.259146,31.6
1682701647.2012663,37.872186,-122.259131,34.4
1682701652.6091247,37.872203,-122.259108,31.0
1682701658.0869915,37.87224,-122.259078,31.6
1682701663.499244,37.872251,-122.259071,29.0
1682701668.9903836,37.872235,-122.259063,32.4
1682701674.4287975,37.872221,-122.259073,30.0
1682701679.893687,37.872225,-122.259073,31.0
1682701685.4001946,37.872273,-122.259006,30.2
1682701690.8857641,37.872291,-122.258969,29.2
1682701696.3407829,37.872288,-122.258966,33.8
1682701701.7952907,37.872263,-122.258978,29.6
1682701707.3015716,37.872235,-122.259006,31.8
1682701712.8198786,37.872223,-122.259021,35.0
1682701718.3085787,37.872236,-122.259011,29.4
1682701723.7754526,37.872241,-122.259013,33.4
1682701729.2638268,37.872248,-122.259011,34.2
1682701734.7746825,37.87226,-122.25901,32.4
1682701740.3040392,37.872258,-122.259065,29.6
1682701745.8264363,37.872275,-122.259133,29.6
1682701751.3471775,37.872278,-122.259176,29.4
1682701756.923797,37.872283,-122.25918,32.0
1682701762.41712,37.872286,-122.259171,34.4
