Epoch time,Latitude,Longitude,Radiation (cps)
1682699137.1658287,37.87095,-122.252589,21.0
1682699142.524674,37.870948,-122.252589,19.4
1682699147.862691,37.870948,-122.252589,18.0
1682699153.1982057,37.870951,-122.252593,22.4
1682699158.5181081,37.870953,-122.252593,19.8
1682699163.8532658,37.870955,-122.252591,23.6
1682699169.217518,37.870955,-122.252593,23.4
1682699174.5409844,37.870955,-122.252593,19.0
1682699179.9088829,37.870955,-122.252593,24.2
1682699185.284631,37.870955,-122.252593,21.8
1682699190.612272,37.870955,-122.252591,26.8
1682699196.0173168,37.870956,-122.252591,23.0
1682699201.3996453,37.870956,-122.252591,25.2
1682699206.7694113,37.870956,-122.252591,22.2
1682699212.2114506,37.870956,-122.252591,24.6
1682699217.5591495,37.870956,-122.252591,27.2
1682699222.9563804,37.870956,-122.252591,24.6
1682699228.3757324,37.870956,-122.252591,22.4
1682699233.7453458,37.870956,-122.252591,17.2
1682699239.1748378,37.870956,-122.252591,23.4
1682699244.5345592,37.870956,-122.252591,23.4
1682699250.01252,37.870956,-122.252591,21.8
1682699255.5364232,37.870956,-122.252591,21.2
1682699261.0885167,37.870956,-122.252591,19.4
1682699266.5726628,37.870956,-122.252591,23.6
1682699272.0822704,37.870956,-122.252591,26.2
1682699277.577185,37.870958,-122.252591,21.0
1682699283.027043,37.870958,-122.252591,26.8
1682699288.438387,37.870958,-122.252591,24.4
1682699293.8515794,37.870958,-122.252591,20.8
1682699299.2925506,37.870958,-122.252591,21.0
1682699304.782616,37.870958,-122.252591,23.8
1682699310.25412,37.870958,-122.252591,22.0
1682699315.680255,37.870958,-122.252591,22.4
1682699321.1741376,37.870958,-122.252591,24.6
1682699326.5936496,37.870958,-122.252591,23.2
1682699332.0501916,37.870958,-122.252591,24.6
1682699337.4800098,37.870958,-122.252591,21.2
1682699342.9809017,37.870958,-122.252591,24.4
1682699348.456779,37.870958,-122.252591,24.4
1682699353.938011,37.870958,-122.252591,19.6
1682699359.3944445,37.870958,-122.252591,23.0
1682699364.8496587,37.870958,-122.252591,24.6
1682699370.3447568,37.870958,-122.252591,22.2
1682699375.8083298,37.870958,-122.252591,20.6
1682699381.338189,37.870958,-122.252591,19.2
1682699386.8201206,37.870958,-122.252591,22.6
1682699392.402827,37.870958,-122.252591,21.0
1682699397.9223082,37.870958,-122.252591,24.2
1682699403.3986518,37.870958,-122.252591,20.8
1682699408.8903413,37.870958,-122.252589,21.4
1682699414.4516098,37.870958,-122.252589,23.4
1682699419.9626968,37.870958,-122.252589,23.4
1682699425.490584,37.870958,-122.252589,22.6
