Epoch time,Latitude,Longitude,Radiation (cps)
1682545040.21711,37.875819,-122.256506,27.8
1682545045.5215309,37.875818,-122.256506,33.0
1682545050.8566446,37.875815,-122.256508,32.4
1682545056.1935897,37.875815,-122.256513,31.4
1682545061.5043306,37.875811,-122.256516,32.2
1682545066.8346477,37.875813,-122.256518,33.0
1682545072.1607857,37.875815,-122.256519,29.0
1682545077.4857965,37.875816,-122.256518,26.6
1682545082.8409154,37.875815,-122.256518,30.0
1682545088.2220669,37.875815,-122.256519,29.0
1682545093.5686135,37.875811,-122.256519,32.6
1682545099.0015793,37.875805,-122.256521,36.0
1682545104.3801956,37.875796,-122.256518,34.2
1682545109.739246,37.875798,-122.256519,33.6
1682545115.142868,37.875798,-122.256519,28.8
1682545120.5268152,37.875798,-122.256516,29.4
1682545125.876314,37.875803,-122.256516,24.4
1682545131.264614,37.875806,-122.256513,31.4
1682545136.6304898,37.875813,-122.256511,33.0
1682545142.0395043,37.875813,-122.256513,26.4
1682545147.407489,37.875815,-122.256508,30.2
1682545152.8036625,37.875813,-122.256506,29.6
1682545158.2054074,37.875811,-122.256501,28.6
1682545163.5684922,37.875818,-122.256494,28.6
1682545169.0626745,37.875826,-122.256491,34.4
1682545174.5022025,37.875833,-122.25649,29.6
1682545180.000315,37.875843,-122.256484,28.2
1682545185.396853,37.875851,-122.256478,33.8
1682545190.8680124,37.875858,-122.256463,29.6
1682545196.310552,37.875861,-122.256455,32.2
1682545201.7511308,37.875868,-122.256451,32.4
1682545207.1847906,37.875876,-122.256446,36.2
1682545212.5828688,37.875886,-122.256444,27.6
1682545218.043486,37.875893,-122.256443,29.8
1682545223.4452364,37.875893,-122.256438,27.0
1682545228.883917,37.875891,-122.25644,25.4
1682545234.3211932,37.875886,-122.256441,33.0
1682545239.7454195,37.875885,-122.256444,34.2
1682545245.1794908,37.875885,-122.256451,28.0
1682545250.6029844,37.875883,-122.25646,35.4
1682545256.122651,37.875881,-122.256475,28.6
1682545261.5498898,37.875881,-122.256486,33.0
1682545267.0371273,37.87588,-122.256491,30.0
1682545272.4558969,37.875886,-122.256504,30.6
1682545277.9298496,37.875896,-122.256511,33.6
1682545283.448385,37.875895,-122.256531,31.4
1682545288.936174,37.875891,-122.256528,28.8
1682545294.4319284,37.875886,-122.256516,30.2
1682545299.939841,37.875886,-122.256518,32.8
1682545305.4439163,37.875886,-122.256519,25.6
1682545310.9533775,37.875885,-122.256521,32.0
1682545316.5351396,37.87588,-122.256519,32.8
1682545322.05091,37.875878,-122.256525,30.8
1682545327.508814,37.875878,-122.256529,32.2
1682545333.0340083,37.875876,-122.256533,29.8
1682545338.5146933,37.875878,-122.256535,27.8
1682545344.0477443,37.87588,-122.256535,32.6
1682545349.516405,37.875883,-122.256536,29.4
1682545355.050903,37.875885,-122.256536,28.6
