Epoch time,Latitude,Longitude,Radiation (cps)
1682549454.8416355,37.873928,-122.264511,18.4
1682549460.1767144,37.873916,-122.264493,17.6
1682549465.4948957,37.873881,-122.2644,22.4
1682549470.8100314,37.873836,-122.264268,18.6
1682549476.1406307,37.87382,-122.264179,17.4
1682549481.474957,37.873778,-122.264051,20.8
1682549486.8387449,37.873753,-122.263948,21.0
1682549492.1587667,37.873746,-122.263898,16.8
1682549497.461357,37.873756,-122.26389,15.4
1682549502.7905824,37.873766,-122.263906,21.0
1682549508.1418784,37.873795,-122.263985,17.8
1682549513.4588995,37.873791,-122.263995,16.4
1682549518.8203955,37.873788,-122.26405,20.8
1682549524.2224538,37.873775,-122.264043,17.2
1682549529.5512052,37.87377,-122.264033,19.6
1682549534.9578521,37.873835,-122.264248,18.2
1682549540.3126626,37.873866,-122.264386,19.6
1682549545.7142897,37.873875,-122.264418,16.2
1682549551.0954406,37.873875,-122.264435,16.2
1682549556.4976633,37.873878,-122.264471,24.0
1682549561.9615493,37.873883,-122.264483,20.8
1682549567.3681664,37.87389,-122.264488,18.2
1682549572.8101456,37.873913,-122.264528,19.4
1682549578.235249,37.873926,-122.264563,20.4
1682549583.6036346,37.873935,-122.26457,15.4
1682549589.016417,37.873931,-122.264535,18.2
1682549594.3990698,37.873926,-122.264501,21.0
1682549599.7793884,37.873926,-122.264501,21.2
1682549605.2498202,37.873938,-122.264495,16.4
1682549610.6455245,37.873948,-122.2645,16.8
1682549616.0814676,37.873941,-122.264483,22.0
1682549621.4765303,37.873939,-122.264471,19.6
1682549626.9053614,37.873936,-122.264471,21.8
1682549632.355818,37.873935,-122.264476,18.0
1682549637.7708678,37.873931,-122.2645,16.0
1682549643.2065876,37.87393,-122.264555,21.2
1682549648.6074524,37.873936,-122.264593,16.8
1682549654.0868802,37.873938,-122.264618,17.4
1682549659.5679061,37.873943,-122.26465,18.6
1682549665.0233004,37.873933,-122.264658,16.8
1682549670.4645548,37.873928,-122.264651,19.0
1682549675.989237,37.873921,-122.264666,19.2
1682549681.450895,37.873926,-122.26467,19.0
1682549686.9068015,37.873925,-122.264643,19.6
1682549692.3627074,37.873923,-122.264643,18.6
1682549697.8164809,37.873928,-122.264648,17.8
1682549703.302519,37.87393,-122.264635,15.8
1682549708.7505047,37.873925,-122.264611,21.8
1682549714.2828262,37.873915,-122.264575,21.4
1682549719.7577465,37.873903,-122.264555,15.2
1682549725.2811131,37.873883,-122.264516,17.2
1682549730.8916142,37.873903,-122.264518,14.8
1682549736.4414263,37.873906,-122.264531,15.4
1682549741.9763398,37.873898,-122.264525,19.8
1682549747.45736,37.87389,-122.264528,16.6
