Epoch time,Latitude,Longitude,Radiation (cps)
1682548975.474071,37.874435,-122.26391,27.4
1682548980.9085557,37.874435,-122.26391,25.2
1682548986.243268,37.874435,-122.263911,23.2
1682548991.5341845,37.874435,-122.263906,27.0
1682548996.8534486,37.874438,-122.263903,24.2
1682549002.1860068,37.874441,-122.263906,31.8
1682549007.4904997,37.874443,-122.263915,23.4
1682549012.811205,37.874441,-122.263918,28.0
1682549018.139453,37.874443,-122.263915,25.6
1682549023.4638534,37.874435,-122.263933,27.4
1682549028.8091078,37.874443,-122.26395,30.0
1682549034.181373,37.874465,-122.263966,27.2
1682549039.5138488,37.874483,-122.26399,29.0
1682549044.8898482,37.874503,-122.264013,29.0
1682549050.2372243,37.874508,-122.264018,27.2
1682549055.6353743,37.87451,-122.264013,25.8
1682549061.0310977,37.874506,-122.264013,33.8
1682549066.4093757,37.874505,-122.264008,29.4
1682549071.7807846,37.874503,-122.264001,27.8
1682549077.1808054,37.874503,-122.264,27.6
1682549082.5771031,37.8745,-122.264001,27.6
1682549088.039176,37.874495,-122.264,31.0
1682549093.452413,37.87449,-122.264,28.2
1682549098.937324,37.874485,-122.263998,28.2
1682549104.4858713,37.874481,-122.263996,31.6
1682549109.9245064,37.874486,-122.263996,27.4
1682549115.3435824,37.87449,-122.263996,29.4
1682549120.8115222,37.874486,-122.263995,28.4
1682549126.2293904,37.874486,-122.263995,30.6
1682549131.6374936,37.874486,-122.263995,28.6
1682549137.0867255,37.87449,-122.263998,32.8
1682549142.495946,37.874486,-122.264,27.8
1682549147.9525852,37.874486,-122.264,25.8
1682549153.4338462,37.874485,-122.264005,28.4
1682549158.8806741,37.874485,-122.264006,27.4
1682549164.3283176,37.874485,-122.264005,30.0
1682549169.768318,37.874483,-122.264006,28.6
1682549175.2290127,37.87448,-122.264005,28.6
1682549180.6597772,37.87448,-122.264008,23.4
1682549186.1771805,37.874476,-122.264013,28.8
1682549191.6074195,37.874475,-122.264015,24.2
1682549197.1016693,37.874476,-122.264011,28.8
1682549202.5270784,37.87448,-122.264008,30.6
1682549207.9929876,37.87448,-122.26401,26.8
1682549213.4440882,37.874478,-122.264011,29.2
1682549218.9439857,37.874476,-122.264015,28.8
1682549224.4651482,37.874473,-122.264015,26.2
1682549229.944194,37.874461,-122.264013,25.4
1682549235.3938618,37.874448,-122.264011,26.0
1682549240.8765683,37.874446,-122.264008,28.0
1682549246.400713,37.874443,-122.264011,27.2
1682549252.0057328,37.874441,-122.264018,24.6
1682549257.4710088,37.874446,-122.26403,25.0
1682549262.9668062,37.874451,-122.264048,28.6
