Epoch time,Latitude,Longitude,Radiation (cps)
1682551277.0211177,37.870036,-122.26368,32.2
1682551282.3235664,37.870036,-122.263678,25.6
1682551287.6197367,37.870035,-122.263678,33.0
1682551292.9601443,37.870035,-122.263678,32.6
1682551298.3676283,37.870035,-122.263678,32.4
1682551303.697219,37.870033,-122.26368,32.0
1682551309.0427938,37.870033,-122.26368,34.2
1682551314.3494954,37.870031,-122.26368,32.2
1682551319.666107,37.870028,-122.263681,31.4
1682551325.0393884,37.870025,-122.263683,30.0
1682551330.3877642,37.87002,-122.263685,35.8
1682551335.7213514,37.870016,-122.263686,32.8
1682551341.1120183,37.870013,-122.26369,29.8
1682551346.4490244,37.87001,-122.263691,33.6
1682551351.8146982,37.870006,-122.263696,33.8
1682551357.245499,37.870005,-122.2637,31.8
1682551362.590547,37.870003,-122.263701,32.6
1682551367.995605,37.87,-122.263701,29.8
1682551373.3601353,37.869998,-122.263703,32.2
1682551378.7550404,37.869998,-122.263703,34.2
1682551384.130106,37.87,-122.263705,34.2
1682551389.54902,37.87,-122.263706,34.2
1682551394.9914944,37.870001,-122.263708,33.6
1682551400.4794722,37.870001,-122.263711,30.6
1682551405.9188554,37.870003,-122.263715,35.2
1682551411.3266795,37.870005,-122.263716,34.0
1682551416.7232974,37.870008,-122.26372,37.4
1682551422.2049465,37.870015,-122.263723,39.0
1682551427.5911326,37.870018,-122.263725,34.8
1682551433.007053,37.870021,-122.263726,27.2
1682551438.4106405,37.870026,-122.263728,31.2
1682551443.829294,37.87003,-122.263728,28.8
1682551449.2668488,37.870035,-122.26373,30.6
1682551454.6852372,37.870036,-122.263731,32.6
1682551460.1422958,37.870038,-122.263733,34.0
1682551465.5661285,37.870038,-122.263736,31.6
1682551471.0298262,37.870039,-122.26374,30.2
1682551476.4512875,37.870039,-122.263743,30.6
1682551481.8995342,37.870041,-122.263746,35.6
1682551487.3691452,37.870043,-122.263748,30.8
1682551492.8692045,37.870046,-122.26375,35.0
1682551498.3393626,37.870048,-122.263751,34.0
1682551503.8041725,37.870048,-122.263751,31.4
1682551509.2788763,37.870048,-122.263751,28.4
1682551514.739956,37.870048,-122.263753,30.2
1682551520.2311313,37.870046,-122.263751,31.4
1682551525.6686773,37.870043,-122.26375,30.2
1682551531.1706545,37.870041,-122.263745,33.8
1682551536.62157,37.870039,-122.263741,30.6
1682551542.1390219,37.870038,-122.263736,32.2
1682551547.6016052,37.870035,-122.263731,37.0
1682551553.2071276,37.870026,-122.263721,31.2
1682551558.6679544,37.870021,-122.263718,34.2
1682551564.1798909,37.870015,-122.263715,37.2
1682551569.7330542,37.870008,-122.26371,26.0
1682551575.2420573,37.870001,-122.263706,30.0
