Epoch time,Latitude,Longitude,Radiation (cps)
1682550845.5185518,37.870073,-122.264196,30.6
1682550850.9003878,37.870091,-122.264193,36.4
1682550856.22354,37.870095,-122.264186,42.6
1682550861.5323281,37.870101,-122.26419,39.4
1682550866.8691916,37.870105,-122.264191,34.2
1682550872.2151535,37.870105,-122.264196,40.8
1682550877.5349493,37.870105,-122.264201,37.0
1682550882.8689158,37.870106,-122.264203,36.4
1682550888.2166162,37.870105,-122.264203,43.6
1682550893.5435028,37.870106,-122.264206,39.4
1682550898.936755,37.87011,-122.264211,38.2
1682550904.3452685,37.87011,-122.264216,41.0
1682550909.7638972,37.870115,-122.264221,40.2
1682550915.1679351,37.870115,-122.264226,38.0
1682550920.506696,37.870113,-122.264231,36.2
1682550925.915104,37.870111,-122.264236,35.6
1682550931.3278456,37.870108,-122.264246,35.6
1682550936.7801428,37.870108,-122.264258,35.4
1682550942.331147,37.87011,-122.264268,38.4
1682550947.7638865,37.87011,-122.264276,42.4
1682550953.198039,37.870106,-122.26429,38.0
1682550958.5524879,37.870106,-122.2643,40.0
1682550963.9373012,37.87011,-122.264301,37.2
1682550969.3279848,37.87011,-122.264301,37.2
1682550974.7240984,37.87011,-122.264298,36.6
1682550980.1285381,37.870108,-122.264293,37.6
1682550985.5164623,37.87011,-122.264286,40.2
1682550990.9778006,37.870108,-122.264275,36.8
1682550996.3552294,37.870105,-122.264273,38.2
1682551001.754504,37.870106,-122.264275,35.8
1682551007.1760755,37.870105,-122.264278,40.0
1682551012.5619185,37.870106,-122.264273,33.0
1682551018.0110466,37.870108,-122.264268,39.8
1682551023.43221,37.870113,-122.264258,33.0
1682551028.8717325,37.87011,-122.264253,36.8
1682551034.3119955,37.870111,-122.264253,37.6
1682551039.7171824,37.870113,-122.264248,36.0
1682551045.1555755,37.870116,-122.264246,41.6
1682551050.5724878,37.870115,-122.264245,42.4
1682551056.1830754,37.870118,-122.264241,31.6
1682551061.7053256,37.870118,-122.264246,38.8
1682551067.1895242,37.870113,-122.26425,40.0
1682551072.618532,37.87011,-122.264255,37.4
1682551078.1093168,37.87011,-122.26425,39.8
1682551083.5346353,37.870116,-122.264243,35.8
1682551089.049064,37.870121,-122.26424,34.6
1682551094.5114484,37.870123,-122.264243,38.4
1682551100.0306587,37.870126,-122.26425,39.4
1682551105.5605662,37.87013,-122.264255,40.0
1682551111.0723228,37.87013,-122.264258,38.4
1682551116.5879354,37.87013,-122.264258,43.4
1682551122.378783,37.870128,-122.26426,36.4
1682551127.8575947,37.870135,-122.264258,35.8
1682551133.351445,37.870136,-122.264253,38.6
1682551138.8323245,37.870139,-122.264253,36.2
