Epoch time,Latitude,Longitude,Radiation (cps)
1682552751.8061273,37.872246,-122.259903,35.6
1682552757.272234,37.872248,-122.259898,26.8
1682552762.5994968,37.872253,-122.259898,35.8
1682552767.9400623,37.872251,-122.259896,33.8
1682552773.273534,37.872233,-122.259899,33.4
1682552778.567546,37.872226,-122.259908,32.0
1682552783.9183824,37.872213,-122.259928,25.0
1682552789.255913,37.872206,-122.259938,33.4
1682552794.5737693,37.872195,-122.259946,35.2
1682552799.9334886,37.872193,-122.259955,33.0
1682552805.2837644,37.872191,-122.259958,29.4
1682552810.6108117,37.87219,-122.25996,31.8
1682552815.9838789,37.872191,-122.25996,29.6
1682552821.336025,37.872191,-122.259961,30.6
1682552826.6745355,37.872191,-122.25996,29.2
1682552832.1027536,37.872191,-122.259961,29.6
1682552837.4454663,37.872191,-122.25996,30.2
1682552842.833097,37.872191,-122.259961,34.4
1682552848.2631023,37.872193,-122.259958,26.2
1682552853.6579502,37.872193,-122.259956,34.6
1682552859.070615,37.872195,-122.259955,30.2
1682552864.444086,37.872193,-122.259951,31.4
1682552869.8552911,37.872193,-122.259948,31.4
1682552875.3176718,37.872193,-122.259946,33.6
1682552880.7896154,37.872191,-122.259944,30.8
1682552886.2089896,37.87219,-122.259944,34.6
1682552891.6681619,37.872186,-122.259948,29.6
1682552897.1527936,37.872183,-122.259951,34.8
1682552902.533402,37.872181,-122.259955,31.4
1682552907.9403028,37.872183,-122.259951,34.2
1682552913.346937,37.872185,-122.259951,29.4
1682552918.767809,37.872186,-122.25995,35.4
1682552924.209169,37.872188,-122.259953,31.2
1682552929.6192691,37.872186,-122.259956,32.2
1682552935.0948308,37.872185,-122.25996,28.8
1682552940.5478802,37.872185,-122.25996,29.4
1682552946.0040388,37.872185,-122.259961,33.0
1682552951.4366655,37.872185,-122.259963,32.4
1682552956.8835263,37.872185,-122.259963,27.6
1682552962.3843057,37.872186,-122.259966,34.6
1682552967.8211358,37.872186,-122.259968,29.8
1682552973.311049,37.872186,-122.259971,29.4
1682552978.7281244,37.872186,-122.259971,36.0
1682552984.2188594,37.87219,-122.259971,25.8
1682552989.6648679,37.872191,-122.259975,37.6
1682552995.187009,37.872191,-122.259973,30.4
1682553000.6420605,37.872188,-122.259973,35.6
1682553006.142429,37.87219,-122.259973,30.2
1682553011.5977995,37.87219,-122.259976,33.0
1682553017.1120005,37.87219,-122.259978,30.0
1682553022.6967118,37.872185,-122.259983,32.4
1682553028.2941322,37.872183,-122.259986,32.8
1682553033.7863576,37.872183,-122.259991,28.4
1682553039.3233533,37.872185,-122.259988,31.4
1682553044.8233764,37.872185,-122.25999,31.6
1682553050.3367307,37.872185,-122.259988,30.0
1682553055.8074515,37.872185,-122.259988,29.6
