Epoch time,Latitude,Longitude,Radiation (cps)
1682553744.0969944,0,0,58.2
1682553749.4638746,0,0,63.0
1682553754.939532,0,0,66.0
1682553760.286283,0,0,60.2
1682553765.6121802,0,0,53.4
1682553770.9300902,0,0,53.4
1682553776.2509873,0,0,58.2
1682553781.591626,0,0,62.8
1682553786.9909272,0,0,59.6
1682553792.3196166,0,0,58.0
1682553797.6553035,0,0,54.8
1682553802.9850817,0,0,56.4
1682553808.3091295,0,0,57.6
1682553813.652478,0,0,46.8
1682553819.0256624,0,0,38.6
1682553824.4032264,0,0,35.0
1682553829.7551134,0,0,36.2
1682553835.1338716,0,0,30.8
1682553840.5183332,37.872561,-122.259151,39.2
1682553845.9772675,37.872668,-122.259178,39.2
1682553851.3807366,37.872676,-122.259176,36.4
1682553856.841928,37.87267,-122.259178,36.6
1682553862.291851,37.872668,-122.259178,41.8
1682553867.6949527,37.87266,-122.259178,40.8
1682553873.1203752,37.872655,-122.259176,40.2
1682553878.5018187,37.872646,-122.259176,35.8
1682553883.9445353,37.872641,-122.259176,41.4
1682553889.392291,37.87264,-122.259176,41.2
1682553894.7976935,37.872638,-122.259176,40.4
1682553900.2362099,37.872633,-122.259178,36.6
1682553905.6511989,37.872625,-122.25918,38.2
1682553911.088583,37.872618,-122.259183,38.2
1682553916.4792302,37.872618,-122.259183,37.8
1682553921.9074106,37.872616,-122.259183,38.6
1682553927.351855,37.872615,-122.259183,38.2
1682553932.7905934,37.872613,-122.259181,36.8
1682553938.2822692,37.872611,-122.259181,40.0
1682553943.69424,37.872613,-122.25918,41.8
1682553949.171967,37.872613,-122.25918,42.6
1682553954.5811126,37.872613,-122.25918,41.8
1682553960.1289406,37.872613,-122.25918,36.8
1682553965.5840747,37.872613,-122.25918,43.6
1682553971.067424,37.872613,-122.25918,38.4
1682553976.4920387,37.872613,-122.25918,35.4
1682553981.9591188,37.872613,-122.25918,33.4
1682553987.4139116,37.872613,-122.25918,40.6
1682553992.8922079,37.872615,-122.259181,37.8
1682553998.3647645,37.872613,-122.259181,38.4
1682554003.8451874,37.872613,-122.259181,35.8
1682554009.3300974,37.872611,-122.259183,40.2
1682554014.8691454,37.872611,-122.259185,39.0
1682554020.4368942,37.872611,-122.259183,34.8
1682554025.9118786,37.872611,-122.259181,38.0
1682554031.40871,37.87261,-122.259183,36.2
1682554036.9043744,37.87261,-122.259185,38.0
1682554042.4379673,37.872611,-122.259189,34.6
1682554047.9349728,37.872615,-122.259196,38.6
1682554053.4623246,37.872618,-122.259201,38.0
1682554059.008203,37.872625,-122.259205,40.8
1682554064.529057,37.872629,-122.259208,36.8
1682554070.0956423,37.872628,-122.25921,40.4
1682554075.5944993,37.872628,-122.25921,39.0
1682554081.1360064,37.872628,-122.25921,37.4
1682554086.653991,37.872628,-122.25921,37.0
1682554092.2303884,37.872628,-122.25921,33.2
1682554097.7574155,37.872626,-122.25921,34.4
1682554103.315375,37.872626,-122.25921,35.0
1682554108.8697476,37.872626,-122.25921,35.8
1682554114.4651787,37.872626,-122.25921,37.2
1682554120.097426,37.872626,-122.25921,33.2
1682554125.6191993,37.872626,-122.259208,36.6
1682554131.2128956,37.872625,-122.259205,35.8
1682554136.761601,37.872625,-122.259201,36.0
1682554142.321013,37.872625,-122.2592,35.0
1682554147.8985476,37.872625,-122.259196,36.2
